Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Visa inc,V,"",18698.0,3216000.0,1.1642,1.2441,20,-302.0,-1.589474,reduction,0.0009425,Q2 2018,FINANCE,13F,09/30/2019,132.8866
Walt disney co. (the),DIS,"",23783.0,3099000.0,1.1219,1.2143,21,735.0,3.188997,addition,0.0013203,Q3 2018,COMMUNICATIONS,13F,09/30/2019,117.0718
Bank of america corp. (north carolina national bank),BAC,"",105728.0,3084000.0,1.1164,1.1188,22,3492.0,3.415627,addition,0.0011358,Q3 2011,FINANCE,13F,09/30/2019,15.3837
Mccormick & co. non-voting shares,MKC,"",19551.0,3056000.0,1.1063,1.1482,23,-83.0,-0.422736,reduction,0.0147521,Q1 2019,CONSUMER STAPLES,13F,09/30/2019,150.7161
Facebook inc,FB,"",16815.0,2994000.0,1.0838,0.0966,24,15490.0,1169.056604,addition,0.0005894,Q2 2019,COMMUNICATIONS,13F,09/30/2019,179.2557
United technologies corp. (united aircraft corp.),UTX,"",21396.0,2921000.0,1.0574,1.0324,25,381.0,1.812991,addition,0.0024795,Q3 2017,INDUSTRIALS,13F,09/30/2019,116.6964
Travelers companies  inc. (the) (st. paul fire and marine insurance),TRV,"",19615.0,2916000.0,1.0556,1.1003,26,111.0,0.569114,addition,0.0075329,Q3 2017,FINANCE,13F,09/30/2019,123.062
Centurylink inc,CTL,"",230340.0,2875000.0,1.0408,1.0569,27,-7847.0,-3.29447,reduction,0.0211172,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,11.76
Allergan plc,AGN,"",16990.0,2859000.0,1.035,1.2713,28,-3134.0,-15.573445,reduction,0.0051794,Q4 2018,HEALTH CARE,13F,09/30/2019,142.1581
Becton  dickinson and co.,BDX,"",11282.0,2854000.0,1.0332,1.0437,29,308.0,2.806634,addition,0.0041793,Q3 2016,HEALTH CARE,13F,09/30/2019,182.8406
Philip morris international inc,PM,"",37312.0,2833000.0,1.0256,,30,37312.0,,new,0.0023982,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,75.93
International business machines corp,IBM,"",19407.0,2822000.0,1.0216,0.9762,31,646.0,3.443313,addition,0.0021907,Q1 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,145.8207
Microchip technology inc,MCHP,"",30072.0,2794000.0,1.0114,0.9358,32,1473.0,5.15053,addition,0.0126332,Q3 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,88.7274
Humana  inc.,HUM,"",10915.0,2791000.0,1.0104,1.049,33,437.0,4.170643,addition,0.0080798,Q3 2017,HEALTH CARE,13F,09/30/2019,249.0301
Merck & co,MRK,"",33103.0,2787000.0,1.0089,1.0083,34,1240.0,3.891661,addition,0.0012929,Q1 2016,HEALTH CARE,13F,09/30/2019,55.6171
Broadcom ltd. (avago technologies),AVGO,"",10042.0,2772000.0,1.0035,1.0611,35,275.0,2.815604,addition,0.0025227,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,255.4887
Westrock co,WRK,"",74820.0,2727000.0,0.9872,0.0894,36,68320.0,1051.076923,addition,0.0291083,Q2 2019,MATERIALS,13F,09/30/2019,36.4517
Capital one financial corp,COF,"",29732.0,2705000.0,0.9792,0.9713,37,1361.0,4.797152,addition,0.0063215,Q2 2019,FINANCE,13F,09/30/2019,90.751
Blackrock inc. class a,BLK,"",5962.0,2657000.0,0.9619,1.0109,38,253.0,4.431599,addition,0.0038572,Q2 2017,FINANCE,13F,09/30/2019,424.0762
Kinder morgan inc. (de),KMI,"",124829.0,2573000.0,0.9314,0.9724,39,1423.0,1.153104,addition,0.0055141,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,20.8769
Gilead sciences inc.,GILD,"",39885.0,2528000.0,0.9152,0.9713,40,1783.0,4.679544,addition,0.0031493,Q4 2016,HEALTH CARE,13F,09/30/2019,70.3988
Mercadolibre inc,MELI,"",4567.0,2517000.0,0.9112,1.0181,41,157.0,3.560091,addition,0.0091873,Q4 2017,COMMUNICATIONS,13F,09/30/2019,375.9383
Leggett & platt inc.,LEG,"",60503.0,2477000.0,0.8967,0.8664,42,664.0,1.109644,addition,0.0460204,Q2 2013,CONSUMER DISCRETIONARY,13F,09/30/2019,38.6167
Caterpillar inc.,CAT,"",19564.0,2471000.0,0.8945,0.9547,43,998.0,5.375417,addition,0.0034775,Q1 2016,INDUSTRIALS,13F,09/30/2019,101.1573
Cullen/frost bankers  inc. (frost national bank) (san antonio  tx),CFR,"",27463.0,2432000.0,0.8804,0.906,44,1822.0,7.105807,addition,0.0438286,Q4 2009,FINANCE,13F,09/30/2019,69.2277
Qualcomm inc.,QCOM,"",31828.0,2428000.0,0.879,0.8894,45,837.0,2.700784,addition,0.0026182,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,57.3327
Box inc,BOX,"",130899.0,2168000.0,0.7848,0.8898,46,-2998.0,-2.239034,reduction,0.0893509,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,24.1246
Vanguard small-cap etf,VB,"",13457.0,2071000.0,0.7497,0.8034,47,-131.0,-0.964086,reduction,No Data,Q4 2018,FINANCE,13F,09/30/2019,131.99
